1,Nikitka,12345,Osipog@rvt.lv,Moderator,03.21.2024 10:36:28,+371 2432525,1,1,1,1
2,David,davidLoh,dav@rvt.lv,User,03.21.2024 10:36:28,Unknown,123,123,123123,123
4,Igor,123,igor228@gmail.com,User,04.01.2024 17:16:38,Unknown,123,123,1231,123
5,Kristian,kristina,kris@gmail.com,User,04.06.2024 15:00:54,Unknown,123,123,123,123
6,ronis is cool,12345,ron@rvt.lv,User,04.10.2024 10:42:17,Unknown,123,1234,12345,123456
7,Maris,11122,Maris@rvt.lv,User,04.18.2024 10:26:28,Unknown,4444 3333 2222 1111,031,12/24,Maris Balcun
8,hhh,123,h@gmail.com,User,04.20.2024 21:15:43,Unknown,Unknown,Unknown,Unknown,Unknown
9,ddd,123,dd@gmail.com,User,04.20.2024 21:22:33,Unknown,Unknown,Unknown,Unknown,Unknown
10,Nikitka Ospovs,12345,no00499@rvt.lv,User,04.23.2024 11:42:31,Unknown,1,1,1,1
11,Nff,hhhhHHHH1!,gfgh@fg,User,04.28.2024 18:43:03,Unknown,1111111111111112,123,2042/2,Danila
12,Danila,12!kshggggg42!D,dan@gmail.com,User,05.08.2024 20:03:31,Unknown,1234567890000000,123,2041/4,KrisSapog
13,Duck228,!Duck123,duck@gmail.com,User,05.08.2024 20:40:48,+37123541456,1234567891111111,123,2039/7,Duck Duck
14,Duck123,hhhhHHHH1!,d@fg,User,05.08.2024 21:14:40,+371345535355,1231111111111111,123,2040/2,rwerwer
15,Duck Duck,!Kserks73,gfghj@fg,User,05.08.2024 23:01:40,Unknown,1111111111111111,325,2032/1,Nikitka
